id1,id2,name_jaccard_3gram,name_token_jaccard,num_overlap,pack_type_eq,pack_mat_eq,net_close,match_score,weak_label
5933,5935,0.7878787878787878,0.7142857142857143,0.0,0,0,0,0.7596969234824242,
861,5707,1.0,1.0,1.0,1,1,0,0.9997639952462705,1.0
7323,7547,1.0,1.0,0.0,1,0,0,0.99868016311932,1.0
5194,6535,1.0,1.0,0.0,1,1,0,0.9997259201300351,1.0
6808,7101,1.0,1.0,0.0,1,0,0,0.99868016311932,1.0
1994,2001,0.8333333333333334,0.8,0.0,0,0,0,0.9104675463365474,
6217,6633,1.0,1.0,0.0,0,0,0,0.9964266230576636,
1785,1827,1.0,1.0,0.0,0,0,0,0.9964266230576636,
4405,5328,1.0,1.0,0.0,1,0,0,0.99868016311932,1.0
2383,6657,1.0,1.0,0.0,0,0,0,0.9964266230576636,
8489,8862,0.8367346938775511,0.8181818181818182,0.0,0,0,0,0.9246262779492089,
7001,8435,1.0,1.0,0.0,1,0,0,0.99868016311932,1.0
5793,6305,1.0,1.0,0.0,0,0,0,0.9964266230576636,
387,2791,0.7083333333333334,0.6666666666666666,0.0,1,0,0,0.7263090592944288,
3095,7617,1.0,1.0,0.0,1,0,0,0.99868016311932,1.0
2780,3849,1.0,1.0,1.0,1,1,0,0.9997639952462705,1.0
9596,9597,0.8148148148148148,0.8333333333333334,0.5,0,0,0,0.9240737021592914,
978,980,0.6842105263157895,0.5,0.0,0,0,0,0.1579474399174975,
6387,7983,1.0,1.0,0.0,1,0,0,0.99868016311932,1.0
282,4660,1.0,1.0,0.0,1,0,0,0.99868016311932,1.0
7682,8015,0.7,0.6,0.0,1,0,0,0.5813123569239229,
8592,8990,0.7333333333333333,0.625,0.0,0,0,0,0.4661789146765989,
7100,7101,0.8157894736842105,0.75,0.0,0,0,0,0.8487010068484314,
4522,6263,1.0,1.0,0.0,0,0,0,0.9964266230576636,
2686,4564,1.0,1.0,0.0,0,0,0,0.9964266230576636,
4418,7603,1.0,1.0,0.0,1,0,0,0.99868016311932,1.0
5199,5724,0.7857142857142857,0.75,0.0,0,0,0,0.8075326241585642,
1718,7556,1.0,1.0,0.0,0,0,0,0.9964266230576636,
8514,8518,0.7068965517241379,0.4444444444444444,0.0,1,1,0,0.6556178960722119,
862,7571,1.0,1.0,0.0,1,0,0,0.99868016311932,1.0
4570,5930,0.47058823529411764,0.42857142857142855,0.0,0,0,0,0.012816860944580238,
1720,7602,1.0,1.0,0.0,1,0,0,0.99868016311932,1.0
1985,2423,0.8181818181818182,0.6666666666666666,0.0,0,0,0,0.7385335619516217,
4428,4534,0.8604651162790697,0.75,0.0,0,0,0,0.8962110537843779,
1701,2664,1.0,1.0,1.0,1,0,0,0.998863349399516,1.0
892,7221,1.0,1.0,0.0,0,0,0,0.9964266230576636,
2406,2453,0.7,0.5,0.0,0,0,0,0.17929603282641635,
1045,1047,0.8108108108108109,0.7142857142857143,0.0,0,1,0,0.9500423142456079,
2850,4564,1.0,1.0,0.0,0,0,0,0.9964266230576636,
6067,6069,0.8125,0.7142857142857143,0.0,0,0,0,0.8003925702147616,
1688,7505,1.0,1.0,0.0,0,0,0,0.9964266230576636,
4499,7568,1.0,1.0,0.0,1,0,0,0.99868016311932,1.0
2830,4851,1.0,1.0,0.0,0,1,0,0.9992566165441318,1.0
3014,6658,1.0,1.0,0.0,0,0,0,0.9964266230576636,
4148,6587,1.0,1.0,0.0,0,0,0,0.9964266230576636,
2341,5626,0.8214285714285714,0.6666666666666666,0.0,0,0,0,0.7445417187867954,
6262,8230,1.0,1.0,0.0,0,0,0,0.9964266230576636,
5460,6788,1.0,1.0,0.0,1,0,0,0.99868016311932,1.0
